RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,James Harden,HOU,,,SG,68,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,6.6,7.5,1.8,0.9,4.5,22,4,29.11,4,James Harden,SG,Houston Rockets,"$38,199,000 "
2,Bradley Beal,WSH,,,SG,57,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,4.2,6.1,1.2,0.4,3.4,8,0,23.22,35,Bradley Beal,SG,Washington Wizards,"$27,093,019 "
3,Damian Lillard,POR,,,PG,66,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,4.3,8,1.1,0.3,2.9,19,1,26.95,21,Damian Lillard,PG,Portland Trail Blazers,"$29,802,321 "
4,Trae Young,ATL,,,PG,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,4.3,9.3,1.1,0.1,4.8,28,2,23.95,184,Trae Young,PG,Atlanta Hawks,"$6,273,000 "
5,Giannis Antetokounmpo,MIL,,,PF,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10,63.3,13.6,5.6,1,1,3.7,56,4,31.94,42,Giannis Antetokounmpo,PF,Milwaukee Bucks,"$25,842,697 "
6,Luka Doncic,DAL,,,PG,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7,9.2,75.8,9.4,8.8,1,0.2,4.3,39,17,27.65,161,Luka Doncic,PG,Dallas Mavericks,"$7,683,360 "
7,Kyrie Irving,BKN,,,PG,20,32.9,27.4,10,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,5.2,6.4,1.4,0.5,2.6,3,1,26.24,17,Kyrie Irving,PG,Brooklyn Nets,"$31,742,000 "
8,Russell Westbrook,HOU,,,PG,57,35.9,27.2,10.6,22.5,47.2,1,3.7,25.8,5.1,6.7,76.3,7.9,7,1.6,0.4,4.5,22,8,21.1,3,Russell Westbrook,PG,Houston Rockets,"$38,506,482 "
9,Kawhi Leonard,LAC,,,SF,57,32.4,27.1,9.3,19.9,47,2.2,5.7,37.8,6.2,7.1,88.6,7.1,4.9,1.8,0.6,2.6,13,1,26.91,13,Kawhi Leonard,SF,LA Clippers,"$32,742,000 "
10,Devin Booker,PHX,,,SG,70,35.9,26.6,9,18.3,48.9,2,5.7,35.4,6.7,7.3,91.9,4.2,6.5,0.7,0.3,3.8,11,0,20.64,31,Devin Booker,SG,Phoenix Suns,"$27,285,000 "
11,Anthony Davis,LAL,,,PF,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,9.3,3.2,1.5,2.3,2.5,29,0,27.5,37,Anthony Davis,PF,Los Angeles Lakers,"$27,093,018 "
12,Zach LaVine,CHI,,,SG,60,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,4.8,4.2,1.5,0.5,3.4,2,0,19.52,55,Zach LaVine,SG,Chicago Bulls,"$19,500,000 "
13,LeBron James,LAL,,,SF,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,7.8,10.2,1.2,0.5,3.9,46,13,25.55,7,LeBron James,SF,Los Angeles Lakers,"$37,436,858 "
14,Donovan Mitchell,UTAH,,,SG,69,34.3,24,8.7,19.4,44.9,2.5,6.9,36.6,4,4.7,86.3,4.4,4.3,1,0.2,2.7,1,0,18.86,244,Donovan Mitchell,SG,Utah Jazz,"$3,635,760 "
15,Brandon Ingram,NO,,,SF,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,6.1,4.2,1,0.6,3,9,0,18.88,168,Brandon Ingram,SF,New Orleans Pelicans,"$7,265,485 "
16,Jayson Tatum,BOS,,,SF,66,34.3,23.4,8.4,18.6,45,2.9,7.1,40.3,3.8,4.7,81.2,7,3,1.4,0.9,2.3,10,0,20.45,159,Jayson Tatum,SF,Boston Celtics,"$7,830,000 "
17,Joel Embiid,PHI,,,C,51,29.5,23,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,11.6,3,0.9,1.3,3.1,37,0,25.82,27,Joel Embiid,C,Philadelphia 76ers,"$27,504,630 "
18,Pascal Siakam,TOR,,,PF,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4,5.1,79.2,7.3,3.5,1,0.9,2.5,12,0,17.96,303,Pascal Siakam,PF,Toronto Raptors,"$2,351,839 "
19,Zion Williamson,NO,,,PF,24,27.8,22.5,8.8,15,58.3,0.3,0.6,42.9,4.8,7.4,64,6.3,2.1,0.7,0.4,2.5,2,0,24.14,129,Zion Williamson,PF,New Orleans Pelicans,"$9,757,440 "
20,CJ McCollum,POR,,,SG,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2,2.6,75.7,4.2,4.4,0.8,0.6,1.8,4,0,17.08,26,CJ McCollum,SG,Portland Trail Blazers,"$27,556,959 "
21,DeMar DeRozan,SA,,,SF,68,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,5.5,5.6,1,0.3,2.4,7,0,21.66,25,DeMar DeRozan,SF,San Antonio Spurs,"$27,739,975 "
22,Andrew Wiggins,MIN,GS,,SF,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,5.1,3.7,0.8,1,2.4,4,1,16.44,28,Andrew Wiggins,SF,Golden State Warriors,"$27,504,630 "
23,Paul George,LAC,,,SG,48,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4,4.5,87.6,5.7,3.9,1.4,0.4,2.6,5,0,21.14,19,Paul George,SG,LA Clippers,"$30,560,700 "
24,De'Aaron Fox,SAC,,,PG,51,32,21.1,7.7,16,48,1.1,3.6,29.2,4.7,6.7,70.5,3.8,6.8,1.5,0.5,3.1,9,0,20.7,182,De'Aaron Fox,PG,Sacramento Kings,"$6,392,760 "
25,Khris Middleton,MIL,,,SF,62,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,6.2,4.3,0.9,0.1,2.2,7,0,21.2,18,Khris Middleton,SF,Milwaukee Bucks,"$30,603,448 "
26,Collin Sexton,CLE,,,PG,65,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,3.1,3,1,0.1,2.4,0,0,16.39,220,Collin Sexton,PG,Cleveland Cavaliers,"$4,764,960 "
27,Spencer Dinwiddie,BKN,,,PG,64,31.2,20.6,6.6,16,41.5,1.9,6.3,30.8,5.4,7,77.8,3.5,6.8,0.6,0.3,2.7,9,0,17.9,121,Spencer Dinwiddie,PG,Brooklyn Nets,"$10,605,600 "
28,Kemba Walker,BOS,,,PG,56,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,3.9,4.8,0.9,0.5,2.1,2,0,20,11,Kemba Walker,PG,Boston Celtics,"$32,742,000 "
