Club name,Abbreviation,Arena Name,Arena Location,Seating Capacity,opening year,Latitude,Longitude,Year,Metro GDP in $Millon,Metro Population in thousands
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2014,325003,5595
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2015,347745,5689
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2016,369996,5792
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2017,389472,5877
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2018,411660,5951
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2019,438937,6027
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2020,425444,6088
Atlanta Hawks,ATL,State Farm Arena,"Atlanta, Georgia","18,118",1999,33.95488,-84.29541,2021,449694,6144
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2014,379925,4749
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2015,403931,4781
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2016,418290,4812
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2017,434283,4845
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2018,462230,4862
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2019,488174,4876
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2020,480307,4878
Boston Celtics,BOS,TD Garden,"Boston, Massachusetts","18,624",1995,42.366581,-71.06163,2021,507685,4942
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2014,1507783,19282
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2015,1570333,19322
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2016,1638129,19336
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2017,1690245,19325
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2018,1790858,19289
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2019,1872166,19232
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2020,1809323,20096
Brooklyn Nets,BKN,Barclays Center,"Brooklyn, New York","17,732",2012,40.683071,-73.976044,2021,1912455,19768
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2014,140083,2402
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2015,149619,2450
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2016,157078,2502
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2017,168759,2553
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2018,175993,2596
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2019,184483,2640
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2020,184819,2684
Charlotte Hornets,CHA,Spectrum Center,"Charlotte, North Carolina","19,077",2005,35.225449,-80.840172,2021,195353,2725
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2014,609478,9560
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2015,636939,9552
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2016,647456,9534
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2017,667153,9514
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2018,701955,9485
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2019,721907,9454
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2020,692988,9407
Chicago Bulls,CHI,United Center,"Chicago, Illinois","20,917",1994,41.8806831,-87.6741851,2021,732489,9479
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2014,112901,2068
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2015,113216,2065
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2016,113545,2061
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2017,114578,2058
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2018,117230,2054
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2019,119388,2049
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2020,114298,2044
Cleveland Cavaliers,CLE,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994,41.498666,-81.691959,2021,120813,2039
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2014,417731,6890
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2015,438084,7042
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2016,456713,7195
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2017,480906,7338
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2018,511963,7458
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2019,540634,7574
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2020,534807,7694
Dallas Mavericks,DAL,American Airlines Center,"Dallas, Texas","19,200",2001,32.7886146,-96.8094308,2021,565291,7760
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2014,173826,2755
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2015,184612,2814
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2016,190858,2858
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2017,199940,2894
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2018,213146,2934
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2019,227260,2965
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2020,223146,2991
Denver Nuggets,DEN,Pepsi Center,"Denver, Colorado","19,520",1999,39.7486838,-105.007544,2021,235865,3036
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2014,229738,4311
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2015,240956,4310
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2016,248635,4317
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2017,253210,4322
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2018,262063,4324
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2019,266608,4319
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2020,254533,4304
Detroit Pistons,DET,Little Caesars Arena,"Detroit, Michigan","20,491",2017,42.34093,-83.0551622,2021,269041,4315
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2014,412207,4585
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2015,443406,4648
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2016,472396,4688
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2017,519359,4712
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2018,562046,4726
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2019,595295,4724
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2020,588336,4740
Golden State Warriors,GS,Chase Center,"San Francisco, California","18,064",2019,37.7678927,-122.3874072,2021,621871,4623
Houston Rockets,HOU,Toyota Center,"Houston, Texas","18,055",2003,29.7519514,-95.3622851,2014,441960,6499
