index,year,TEAM,lasy_year_playoff,GDP,pop,SALARY,turnover_metrics,median_ast,offensive_index,playoff,prediction
0,14,Atlanta Hawks,True,325003,5595,52150108.0,0.16824907011446744,3.0,2.3927812488968896,True,0.08283992877142989
1,15,Atlanta Hawks,True,347745,5689,52112642.0,0.16800094152246942,2.95,2.315522577161135,True,0.07976344847214606
2,16,Atlanta Hawks,True,369996,5792,68126061.0,0.17293571569032953,3.25,1.4647026613769731,True,0.03453635370803075
3,17,Atlanta Hawks,True,389472,5877,88612062.0,0.16727635777714858,2.3499999999999996,1.6542658730158724,True,0.33269374006658337
4,18,Atlanta Hawks,True,411660,5951,69224606.0,0.17680576639241966,3.05,1.4739527389903335,False,0.0403982020511906
5,19,Atlanta Hawks,False,438937,6027,58723895.0,0.18050797054012846,2.4,2.262118693404598,False,0.008661696500882679
6,20,Atlanta Hawks,False,425444,6088,59527671.0,0.17392748460675758,1.8,1.2384426543920204,False,0.0023735086934583535
7,21,Atlanta Hawks,False,449694,6144,102711011.0,0.1296192804350977,3.3499999999999996,2.1468909486974312,True,0.4645437214755373
8,14,Boston Celtics,True,379925,4749,65715030.0,0.17099331678194069,2.6,1.3459221791014402,False,0.037243872264890086
9,15,Boston Celtics,False,403931,4781,48026312.0,0.17613337407155485,3.55,1.8153067406084273,True,0.0009348100891638888
10,16,Boston Celtics,True,418290,4812,52647268.0,0.15332455687201435,2.2,1.7278982485404502,True,0.09572563509514816
11,17,Boston Celtics,True,434283,4845,84099197.0,0.16220420352681902,2.2,2.0491363211951437,True,0.544187151725602
12,18,Boston Celtics,True,462230,4862,108046311.0,0.15378524617623096,2.55,2.032670963122092,True,0.8857968634046527
13,19,Boston Celtics,True,488174,4876,120060259.0,0.13913860211202422,3.7,2.2885444942448925,True,0.9685090154762932
14,20,Boston Celtics,True,480307,4878,110472123.0,0.1552397517984943,2.75,2.146755135518938,True,0.9090661621219627
15,21,Boston Celtics,True,507685,4942,119704126.0,0.14609375455283724,3.4,1.8105838223526267,True,0.9165835938961284
16,14,Brooklyn Nets,False,1507783,19282,103856790.0,0.15559654123904762,2.2,1.4523925112422034,True,0.8345097488862875
17,15,Brooklyn Nets,True,1570333,19322,87228441.0,0.15991768500488293,1.95,1.0371105595480408,True,0.9232242135568977
18,16,Brooklyn Nets,True,1638129,19336,49088922.0,0.18842086727374777,2.95,0.9840565649051884,False,0.12492941256197909
19,17,Brooklyn Nets,False,1690245,19325,68459173.0,0.20896846426960436,2.45,1.5169613678804836,False,0.05983807949402054
20,18,Brooklyn Nets,False,1790858,19289,81160405.0,0.15053368190160643,3.25,1.9504117436448265,False,0.8099402497975547
21,19,Brooklyn Nets,False,1872166,19232,74678930.0,0.1687728447892724,2.5,2.041358920943543,True,0.7368274096772266
22,20,Brooklyn Nets,True,1809323,20096,82178659.0,0.16261673197992116,3.0,1.9869661875964046,True,0.9810445689813119
23,21,Brooklyn Nets,True,1912455,19768,180381490.0,0.13930334592922622,4.7,2.948799735485019,True,0.9999974829535175
24,15,Charlotte Hornets,True,149619,2450,58390083.0,0.14353178111400086,2.45,0.7749414973898834,False,0.013935858609938973
25,16,Charlotte Hornets,False,157078,2502,73592820.0,0.1396104987309448,1.7999999999999998,1.505450769785632,True,0.02010955778421192
26,17,Charlotte Hornets,True,168759,2553,97512840.0,0.11355217212147718,2.1,1.7754435107376283,False,0.8818591990514243
27,18,Charlotte Hornets,False,175993,2596,117699009.0,0.134803980634089,1.9000000000000001,2.217776584317938,False,0.6772870470900432
28,19,Charlotte Hornets,False,184483,2640,113179284.0,0.13603145629738075,2.9000000000000004,1.5412817653206519,False,0.18098579205575302
29,20,Charlotte Hornets,False,184819,2684,65572449.0,0.1551010203491747,2.05,0.9991038039974214,False,0.0020430077325768003
30,21,Charlotte Hornets,False,195353,2725,91227278.0,0.1862812000773517,3.5,1.996894338490264,False,0.008429070075112595
31,14,Chicago Bulls,True,609478,9560,62881116.0,0.16774316148551327,3.4,1.7845987517814141,True,0.10919715171700077
32,15,Chicago Bulls,True,636939,9552,63813219.0,0.16483719505465583,2.95,1.9649269928966058,True,0.2310712527773598
33,16,Chicago Bulls,True,647456,9534,82059369.0,0.14574541675309843,3.2,1.91932888893898,False,0.6723359287806298
34,17,Chicago Bulls,False,667153,9514,86339834.0,0.1475967806178679,2.2,1.7879405929038275,True,0.20619601867045423
35,18,Chicago Bulls,True,701955,9485,60215739.0,0.15410768696757463,3.4000000000000004,1.700232724668816,False,0.1747188375372208
36,19,Chicago Bulls,False,721907,9454,86889385.0,0.15575736227095133,3.0,0.907462351563103,False,0.023845598962448148
37,20,Chicago Bulls,False,692988,9407,61355527.0,0.17176699340384924,2.7,0.9799237731475801,False,0.0025576193909059223
38,21,Chicago Bulls,False,732489,9479,110667468.0,0.1615581878119079,4.05,2.2577603472037,False,0.4181184180898362
39,14,Cleveland Cavaliers,False,112901,2068,60474124.0,0.16584095329289947,2.95,1.9575225691957043,False,0.0025974342722601814
40,15,Cleveland Cavaliers,False,113216,2065,77005321.0,0.16257737493000055,2.5,1.9982018236198231,True,0.01318818507526655
41,16,Cleveland Cavaliers,True,113545,2061,103835665.0,0.15323939142912493,2.4,1.7294113337691317,True,0.5440528639095145
42,17,Cleveland Cavaliers,True,114578,2058,124106953.0,0.16448997958126962,1.85,2.5824550653594756,True,0.9542480279665739
43,18,Cleveland Cavaliers,True,117230,2054,144211463.0,0.13848362277194018,2.75,2.190386680988186,True,0.9868733857242756
44,19,Cleveland Cavaliers,True,119388,2049,106360394.0,0.13564687340990136,2.6500000000000004,0.7930195203725916,False,0.312443266201426
45,20,Cleveland Cavaliers,False,114298,2044,121873735.0,0.1756993010843721,2.85,1.2649311591541603,False,0.030415680133213885
46,21,Cleveland Cavaliers,False,120813,2039,97818789.0,0.17303250088646566,3.75,0.5935235507246377,False,0.0010973314905801336
47,14,Dallas Mavericks,True,417731,6890,63783748.0,0.1595223277990339,2.6500000000000004,2.795833341985175,True,0.5248758057145725
48,15,Dallas Mavericks,True,438084,7042,69307539.0,0.15809834131946626,3.3499999999999996,1.896022168681372,True,0.1745848363631354
49,16,Dallas Mavericks,True,456713,7195,66509738.0,0.1590095452828622,2.3499999999999996,1.189721727565764,True,0.07627786081125618
50,17,Dallas Mavericks,True,480906,7338,90135356.0,0.12744427795521046,2.8,0.6307773109243695,False,0.3318956933507979
51,18,Dallas Mavericks,False,511963,7458,72652690.0,0.12954707128891269,2.3,1.2181346222699605,False,0.041302873730093545
52,19,Dallas Mavericks,False,540634,7574,64017094.0,0.1529424860119462,2.95,1.4261866184093315,False,0.00890816275026369
53,20,Dallas Mavericks,False,534807,7694,110447596.0,0.131507317936326,2.9,2.7570214398224095,True,0.8863892574959813
54,21,Dallas Mavericks,True,565291,7760,111979501.0,0.12402911037227293,1.85,1.399636347470437,True,0.9636373119842263
55,14,Denver Nuggets,True,173826,2755,50769284.0,0.18655898762682982,2.85,2.744989995009617,False,0.04296147626844048
56,15,Denver Nuggets,False,184612,2814,49581897.0,0.1667845718113132,2.0,1.5477113017350006,False,0.001192784446473368
57,16,Denver Nuggets,False,190858,2858,47166727.0,0.15754914187453187,2.5,1.3641369684947668,False,0.0008173684399824063
58,17,Denver Nuggets,False,199940,2894,69458471.0,0.15940146534543703,3.45,2.9537202380952365,False,0.04193513870204102
59,18,Denver Nuggets,False,213146,2934,93996095.0,0.16768951410184965,3.05,2.600877192982457,False,0.0974426111864003
60,19,Denver Nuggets,False,227260,2965,108007022.0,0.14298662157715328,2.95,2.272464561019577,True,0.3399926615296297
61,20,Denver Nuggets,True,223146,2991,123692097.0,0.1310952085485608,3.0,2.249079483224379,True,0.9721545322307381
62,21,Denver Nuggets,True,235865,3036,111180188.0,0.1492658637583491,3.2,2.5340758091046505,True,0.911296316857448
63,14,Detroit Pistons,False,229738,4311,57230780.0,0.15578959829754008,2.1500000000000004,1.8321640195490105,False,0.006317185515611165
64,15,Detroit Pistons,False,240956,4310,46033008.0,0.1580858953955573,3.2,1.6169591797172485,False,0.0009598662914884353
65,16,Detroit Pistons,False,248635,4317,62188855.0,0.13764146801931804,2.35,1.367503293535403,True,0.007774507502291373
66,17,Detroit Pistons,True,253210,4322,96038428.0,0.13203423298402478,2.25,1.3417512838468715,False,0.6075121424182972
67,18,Detroit Pistons,False,262063,4324,110575036.0,0.13810264970919284,3.3,1.8742391693519513,False,0.25031759554887995
68,19,Detroit Pistons,False,266608,4319,110102430.0,0.12347195883225216,2.15,1.2940015010275723,True,0.2938309222097685
69,20,Detroit Pistons,True,254533,4304,37183021.0,0.16067149445680728,2.6,1.5258591843563574,False,0.008398716631461118
70,21,Detroit Pistons,False,269041,4315,69863504.0,0.17161163368099938,3.6,1.0133099382057442,False,0.0007040945677730883
71,14,Golden State Warriors,False,412207,4585,67538533.0,0.18082467869308266,2.85,3.129102097967924,True,0.05376849786337164
72,15,Golden State Warriors,True,443406,4648,68250595.0,0.18034788686606967,2.95,3.666666666666667,True,0.7222991439926073
73,16,Golden State Warriors,True,472396,4688,84383983.0,0.19187125154330253,2.65,3.675675675675676,True,0.8604697433573176
74,17,Golden State Warriors,True,519359,4712,94216298.0,0.18683182832147519,3.0,3.5999999999999988,True,0.9246195245523483
75,18,Golden State Warriors,True,562046,4726,131945925.0,0.18071256220842957,3.0,3.4868421052631584,True,0.9949614928679573
76,19,Golden State Warriors,True,595295,4724,138294278.0,0.17002514388471415,3.4000000000000004,3.485147542593411,True,0.9976833015473062
77,20,Golden State Warriors,True,588336,4740,36579380.0,0.13811231874794763,2.25,1.1040422267381593,False,0.03243493959337578
78,21,Golden State Warriors,False,621871,4623,129635437.0,0.20984013126619797,2.5999999999999996,2.3725793544945324,False,0.3465535115945569
79,14,Houston Rockets,False,441960,6499,58248544.0,0.18978327849012178,2.95,2.808127886687167,True,0.011572113685790683
80,15,Houston Rockets,True,461490,6671,66937242.0,0.1859412935010933,2.55,1.901391946717623,True,0.07967768380334042
81,16,Houston Rockets,True,453324,6806,71234942.0,0.18598783486116036,1.95,1.4678354334317638,True,0.06590110923599156
82,17,Houston Rockets,True,473076,6899,85427599.0,0.14642124851118607,2.35,2.7234418767506994,True,0.916027487214046
83,18,Houston Rockets,True,505890,6975,111004826.0,0.14890485247759333,1.9000000000000001,2.1073218761188697,True,0.9611712781271011
84,19,Houston Rockets,True,509312,7063,117676641.0,0.13672240642837785,2.05,1.4419754645119212,True,0.9458993501635706
85,20,Houston Rockets,True,488165,7154,137346433.0,0.1460859156585666,1.55,1.6098722751348653,True,0.9872559667881299
86,21,Houston Rockets,True,515990,7207,108157856.0,0.17262637728751914,5.1,0.8800365097359298,False,0.08813861233017342
87,14,Indiana Pacers,True,125126,1972,60830218.0,0.1983111430745444,3.0,1.752208192394824,True,0.005872802793338236
88,15,Indiana Pacers,True,125191,1987,70424567.0,0.15975777440170277,3.25,1.624345047702128,False,0.04308502297085754
89,16,Indiana Pacers,False,129945,2008,62580971.0,0.18502319099252418,2.95,1.3208268214002163,True,0.00038164284547447826
90,17,Indiana Pacers,True,133357,2029,84629666.0,0.1409890624542839,2.7,1.9267594537815118,True,0.4201009035530447
91,18,Indiana Pacers,True,141715,2053,86066689.0,0.1545845176040535,2.45,1.6810776942355883,True,0.24094642399413865
92,19,Indiana Pacers,True,148367,2073,93661462.0,0.15985878283031393,2.7,1.9364833869915619,True,0.37669962852746736
93,20,Indiana Pacers,True,146934,2091,102256648.0,0.14567902141991748,3.15,1.9627205804340186,True,0.6257999542360654
94,21,Indiana Pacers,True,155309,2109,117214557.0,0.15457318644635698,4.9,2.2203856028274207,False,0.6469505113584614
95,14,Los Angeles Clippers,False,833318,13160,75020988.0,0.16413444688220116,2.7,3.017455403213918,True,0.4505610158307661
96,15,Los Angeles Clippers,True,882307,13226,75753649.0,0.13939638386766726,2.15,2.617240961519822,True,0.9666718401933387
97,16,Los Angeles Clippers,True,910277,13259,91222499.0,0.14163566360688623,2.05,1.4323134644235558,True,0.8981446806837894
98,17,Los Angeles Clippers,True,957632,13267,108568384.0,0.15479848978746635,2.5,2.2361344537815118,True,0.9850535317051057
99,18,Los Angeles Clippers,True,1006225,13237,112056712.0,0.15355014413515677,3.45,1.8699427139276765,False,0.9659766098590611
100,19,Los Angeles Clippers,False,1055570,13182,93267554.0,0.1494372825215356,2.7,2.698770419937012,True,0.8534113381017108
101,20,Los Angeles Clippers,True,1007037,13110,122699675.0,0.15453967453926218,3.8,2.7263088738176267,True,0.9958360406948169
102,21,Los Angeles Clippers,True,1064438,13036,131781660.0,0.14200739675898189,3.25,2.5159389726149204,True,0.9988471959349062
103,14,Los Angeles Lakers,True,833318,13160,71358763.0,0.1808292753387642,5.25,2.7871621196044516,False,0.37402314005622533
104,15,Los Angeles Lakers,False,882307,13226,56745753.0,0.1387172854146185,3.65,1.4058062975117342,False,0.02118577269743919
105,16,Los Angeles Lakers,False,910277,13259,67907944.0,0.15329746197753188,2.45,0.2432432432432429,False,0.005589087533066819
106,17,Los Angeles Lakers,False,957632,13267,81362570.0,0.15367437661736297,2.45,1.4832778944911287,False,0.14984666555637652
107,18,Los Angeles Lakers,False,1006225,13237,90211740.0,0.16229521806611716,3.1,2.132832080200501,False,0.3737520656442703
108,19,Los Angeles Lakers,False,1055570,13182,87084310.0,0.149667610685162,3.05,1.890049730306027,False,0.38950136774775923
109,20,Los Angeles Lakers,False,1007037,13110,99723853.0,0.17160391770739936,1.75,2.132255221212937,True,0.6268339211366746
110,21,Los Angeles Lakers,True,1064438,13036,124075550.0,0.18821412027070317,2.8,1.5267403529830181,True,0.9220691721558292
111,14,Memphis Grizzlies,True,67512,1334,67933534.0,0.13556362074830092,2.75,1.7065048702950407,True,0.13099991421867402
112,15,Memphis Grizzlies,True,70561,1336,70838466.0,0.1530182160665916,2.35,1.2827578268876607,True,0.04460775589556585
113,16,Memphis Grizzlies,True,71984,1337,75468039.0,0.14316177767909433,3.05,0.5454473447592711,True,0.015711016831899956
114,17,Memphis Grizzlies,True,73510,1340,103688225.0,0.15993523804916626,2.05,1.3266135620915018,True,0.2992546327774142
115,18,Memphis Grizzlies,True,75275,1344,96894830.0,0.17904293300946808,3.8499999999999996,0.6459899749373443,False,0.010068313363877368
116,19,Memphis Grizzlies,False,77380,1346,114634678.0,0.1489725777692493,3.1,0.765488991295443,False,0.018325640139273888
117,20,Memphis Grizzlies,False,77275,1337,80810703.0,0.15136451397942524,2.7,2.346341845603898,False,0.0424986655636831
118,21,Memphis Grizzlies,False,81679,1336,88866355.0,0.12761259920606371,2.85,2.463619187338846,True,0.21048662988026529
119,14,Miami Heat,True,288657,5894,76146557.0,0.18759962259083435,2.5,1.7817848266066987,True,0.06775508664098719
120,15,Miami Heat,True,308287,5970,74054086.0,0.17785462159567195,2.95,0.36719613259668493,False,0.00513278532711817
121,16,Miami Heat,False,322563,6055,82106816.0,0.15911837666078998,3.4,0.9941009086651291,True,0.003887386177166629
122,17,Miami Heat,True,340554,6116,70137651.0,0.14145600636508632,3.4000000000000004,1.740085200746965,False,0.20097543311758653
123,18,Miami Heat,False,360230,6141,123570000.0,0.16361059096656777,3.15,1.582438238453277,True,0.1821342248482712
124,19,Miami Heat,True,376603,6165,120021127.0,0.16984436125067334,3.5,1.5541667543435105,False,0.6061414440391872
125,20,Miami Heat,False,365051,6126,133768080.0,0.14991278686121867,3.65,2.627703074374229,True,0.8268256226766469
126,21,Miami Heat,True,385859,6092,122522773.0,0.1762607139641496,3.9000000000000004,1.3528797679381166,True,0.42632096412584897
127,14,Milwaukee Bucks,False,87567,1575,41614796.0,0.17126360235961474,2.75,1.4639171804130595,False,0.0002202224521112429
128,15,Milwaukee Bucks,False,88533,1577,50441120.0,0.20878273470833555,2.9,1.745609707971586,True,0.00011416039921984554
129,16,Milwaukee Bucks,True,88972,1577,63265455.0,0.17493265502615024,3.55,0.9148766677436404,False,0.002569415142906422
130,17,Milwaukee Bucks,False,89167,1575,84626371.0,0.15913414211875715,3.0999999999999996,1.6925332633053207,True,0.009262975981632761
131,18,Milwaukee Bucks,True,91246,1576,95538607.0,0.14871773732948929,3.5,1.269781596849266,True,0.13967996073680175
132,19,Milwaukee Bucks,True,92618,1577,118708192.0,0.13151774015611897,4.0,3.015360983102918,True,0.9745455355591949
133,20,Milwaukee Bucks,True,87950,1574,113496748.0,0.15654973957181503,3.1500000000000004,3.271115409413282,True,0.9581427353487133
134,21,Milwaukee Bucks,True,92963,1566,123122306.0,0.1471198006001604,3.2,3.33393115942029,True,0.9870107440706826
135,14,Minnesota Timberwolves,False,232315,3477,61577648.0,0.15719668798059072,1.75,2.9013303764797254,False,0.07346172772920155
136,15,Minnesota Timberwolves,False,241312,3505,58905339.0,0.17494998307909487,2.7,0.9520946703776013,False,0.00038981945711209174
137,16,Minnesota Timberwolves,False,247968,3540,56330841.0,0.1741724364028296,2.1,1.0513608374846906,False,0.000600421080895952
138,17,Minnesota Timberwolves,False,256333,3578,53728341.0,0.1716198058804776,2.6500000000000004,1.6835025676937425,False,0.0014133947705560384
139,18,Minnesota Timberwolves,False,271255,3612,98030072.0,0.14351474387998,2.3499999999999996,1.7474042248478348,True,0.13254823172863808
140,19,Minnesota Timberwolves,True,278264,3640,110238373.0,0.1272083200582652,3.75,1.9226339526825607,False,0.8706558904087439
141,20,Minnesota Timberwolves,False,270282,3692,31163316.0,0.18023040585034034,2.0,1.5169061201837932,False,0.0002264168664110766
142,21,Minnesota Timberwolves,False,285688,3691,122315140.0,0.15123860838060532,3.3499999999999996,1.6587586134080199,False,0.2154305417939755
143,14,New Orleans Pelicans,False,71320,1250,61769901.0,0.16179338732170256,2.8,2.026397808938253,False,0.0036801632057324144
144,15,New Orleans Pelicans,False,71547,1261,66707593.0,0.14754050461010876,3.3499999999999996,1.8776478489040285,True,0.005349457872812693
